% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.605689310e+04 +2.605689310e+04 +2.620604310e+04 +2.620604310e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +2.560639149e+04 +2.560639149e+04 +2.575554149e+04 +2.575554149e+04 -2.1387e-01 -3.2545e-01 +2.1748e-02 +3.3094e-02 +8.9779e-03 -3.9475e-01 +7.1299e-02 -3.0159e-01 +1.6915e-02 +1.8110e-01 +7.7115e-02 -1.8360e-01 -1.2044e-01 +4.3983e-02 -1.8962e-01 +3.0938e-01 -3.6537e-02 +5.0191e-01 -3.7277e-01 -1.5175e-01
3 +2.463105786e+04 +2.463105786e+04 +2.478020786e+04 +2.478020786e+04 -2.5354e-01 +9.4234e-02 +4.1313e-02 +7.6944e-03 -7.7474e-02 -1.4184e-03 +3.4368e-02 -2.5521e-02 +8.6757e-03 -2.7972e-02 -4.8191e-03 -6.1493e-02 -2.5954e-01 -4.2573e-01 -2.8090e-01 +8.2460e-02 -5.2097e-02 +8.2529e-02 -1.4258e-01 +1.4366e-01
5 +1.794487926e+04 +1.794487926e+04 +1.809402926e+04 +1.809402926e+04 +1.2011e-01 +1.2954e-01 -1.8277e-01 -2.6853e-01 -4.7934e-01 +3.1755e-02 +4.1668e-02 +1.0688e-01 +1.3979e-02 +2.1719e-01 -2.2694e-01 +2.1540e-02 +7.6660e-02 -1.3767e-01 -1.4842e-01 +7.2730e-02 -3.4622e-01 -3.5026e-01 +7.2045e-02 -2.5582e-02
11 +1.628016323e+04 +1.628016323e+04 +1.642931323e+04 +1.642931323e+04 +1.3228e-01 +1.6969e-01 -2.2407e-01 -1.6455e-01 -5.2231e-01 -1.8310e-01 -6.2290e-02 -4.8761e-02 +2.2749e-01 +1.5941e-01 -3.5124e-01 -3.9388e-02 +1.6652e-01 -7.0281e-01 -3.2425e-01 -2.6395e-01 -7.2682e-01 +1.6376e-01 +9.4188e-02 -1.8920e-01
18 +1.376627627e+04 +1.376627627e+04 +1.391542627e+04 +1.391542627e+04 +1.2810e-01 +6.7099e-02 -5.5773e-02 -1.7508e-01 -7.6765e-01 -3.1088e-02 -1.3522e-01 -3.9017e-01 +1.9655e-01 +1.8994e-01 -6.7450e-01 -2.2218e-01 -3.3843e-02 -3.8762e-01 -3.4030e-01 +2.1368e-02 -7.3647e-01 -1.3382e-01 +2.5118e-01 -2.0373e-01
28 +1.201305362e+04 +1.201305362e+04 +1.216220362e+04 +1.216220362e+04 +2.4565e-01 +4.3112e-01 -3.3806e-01 +3.2096e-01 -8.2745e-01 -1.2923e-02 -2.3090e-01 -1.9712e-01 +2.0961e-01 +2.2446e-01 -5.2985e-01 +3.3530e-02 +3.0500e-01 -8.2033e-01 -5.9086e-01 -3.5627e-01 -7.4072e-01 -2.5295e-01 -3.7504e-02 -6.0269e-02
29 +1.049213491e+04 +1.049213491e+04 +1.064128491e+04 +1.064128491e+04 -2.0900e-01 +2.6254e-01 +1.0065e-02 -1.1685e-01 -7.5957e-01 -3.0027e-01 -3.0285e-01 -4.1228e-01 -1.3208e-01 -2.4236e-01 -6.9938e-01 -5.4925e-03 +6.6504e-02 -6.6834e-01 -6.2229e-01 -1.9696e-01 -5.9150e-01 +4.0133e-02 -3.6797e-01 -1.2256e-01
36 +1.040543478e+04 +1.040543478e+04 +1.055458478e+04 +1.055458478e+04 +2.8208e-01 +2.4750e-01 +1.7061e-01 -3.3237e-01 -9.8113e-01 -3.4653e-01 -2.7591e-01 -6.7300e-01 -5.9832e-02 -2.3712e-01 -4.7969e-01 +2.3503e-01 -3.9513e-01 -7.0452e-01 -3.8573e-01 +2.5924e-01 -2.3996e-01 -4.9894e-02 -5.5989e-01 +4.4890e-02
45 +8.180023395e+03 +8.180023395e+03 +8.329173395e+03 +8.329173395e+03 -1.2353e-01 +3.4058e-01 +8.5640e-02 -3.2951e-01 -1.4035e+00 -4.4095e-01 -7.7087e-02 -6.5511e-01 -1.3927e-01 +1.1553e-01 -5.3725e-01 -8.9264e-02 +2.2754e-02 -4.6071e-01 -3.1511e-01 +8.5641e-02 -1.7246e-01 +2.1648e-02 -8.6729e-02 -4.9370e-02
55 +8.106439985e+03 +8.106439985e+03 +8.255589985e+03 +8.255589985e+03 -2.9499e-01 +3.7629e-01 -5.8608e-01 -2.4108e-01 -1.5143e+00 +1.0606e-02 -8.1285e-02 -5.6383e-01 -1.4780e-01 +4.4291e-01 -7.8587e-01 +2.6889e-01 -1.7474e-01 +9.4452e-04 -2.9174e-01 +1.2960e-01 +1.1389e-01 +2.4436e-01 +8.3949e-03 -2.7205e-01
60 +7.907052576e+03 +7.907052576e+03 +8.056202576e+03 +8.056202576e+03 -5.5414e-01 +6.7973e-02 -3.4960e-01 -1.5102e-01 -2.0791e+00 -7.6059e-02 -3.7670e-01 -7.8126e-01 -1.6330e-01 +3.3937e-01 -2.9691e-01 -2.1970e-01 +3.2753e-01 -2.0530e-01 -5.9913e-01 -6.5998e-02 -1.6598e-01 +1.4050e-01 -3.8726e-03 -3.9843e-02
64 +7.284357183e+03 +7.284357183e+03 +7.433507183e+03 +7.433507183e+03 -1.6150e-01 +2.5444e-01 -5.5334e-01 -4.6870e-01 -1.6193e+00 -4.6544e-01 -1.5645e-01 -6.2777e-01 -4.1595e-01 +3.1925e-02 -4.9933e-01 +4.1144e-01 -3.2297e-01 -5.5101e-01 +1.5812e-01 +8.3711e-02 -2.9941e-02 +4.0093e-01 -4.0136e-01 -8.4958e-02
66 +7.162305649e+03 +7.162305649e+03 +7.311455649e+03 +7.311455649e+03 -3.6510e-01 +6.3527e-01 -5.9364e-01 -4.0931e-01 -1.4942e+00 -1.6819e-01 -2.4965e-01 -6.1021e-01 -8.5012e-01 +1.1146e-02 -7.5053e-01 +4.4301e-01 +2.0925e-02 -1.5266e-01 -1.2524e-01 +1.7169e-01 -2.7132e-02 +6.4440e-01 -3.0538e-01 -2.3043e-01
71 +6.893736825e+03 +6.893736825e+03 +7.042886825e+03 +7.042886825e+03 -2.5992e-01 +3.1805e-01 -7.1960e-01 -4.4225e-01 -1.2089e+00 -6.7847e-01 -2.7693e-01 -4.3148e-01 -5.7476e-01 +3.7302e-02 -7.6714e-01 +3.5353e-01 -2.1576e-01 -3.6302e-01 -2.2039e-01 +4.2919e-02 +4.8449e-02 +7.5226e-01 -1.0586e+00 +1.2168e-01
72 +6.255527863e+03 +6.255527863e+03 +6.404677863e+03 +6.404677863e+03 -2.9741e-01 +4.7786e-01 -9.0588e-01 -2.3235e-01 -1.7259e+00 -2.4263e-01 -1.7250e-01 -3.3581e-01 -6.6945e-02 -8.5330e-02 -8.1596e-01 -2.1178e-02 -5.8250e-02 -3.6513e-01 -1.7621e-01 +4.5580e-01 +1.5202e-01 +3.7990e-01 -5.5228e-01 -2.9448e-02
77 +5.731217609e+03 +5.731217609e+03 +5.880367609e+03 +5.880367609e+03 -1.7746e-02 +6.5932e-01 -9.8047e-01 -4.6328e-01 -1.5841e+00 -8.7791e-01 -4.4087e-01 -5.0898e-01 -2.7925e-01 -3.0231e-01 -8.5132e-01 +3.9828e-01 -1.3056e-01 +1.5769e-02 -1.8441e-01 -6.6804e-02 +2.3219e-01 +6.6376e-01 -1.0660e+00 -1.4901e-01
80 +5.374426740e+03 +5.374426740e+03 +5.523576740e+03 +5.523576740e+03 -2.2379e-01 +2.8331e-01 -1.1078e+00 -8.7045e-01 -1.4669e+00 -2.8937e-01 -2.6108e-01 -3.6914e-01 -4.5064e-02 -1.8694e-02 -1.0663e+00 +3.0690e-02 -8.8879e-02 -6.8951e-01 -2.5934e-01 +8.9819e-02 +3.4238e-01 +4.8314e-01 -1.0601e+00 +2.2428e-02
98 +5.268406507e+03 +5.268406507e+03 +5.417556507e+03 +5.417556507e+03 -2.5047e-01 +8.0313e-03 -1.0188e+00 -8.0859e-01 -1.5771e+00 -6.0658e-01 +1.3638e-02 -2.0397e-01 +1.8009e-01 -2.1414e-01 -8.9994e-01 +5.3730e-01 -2.2390e-01 -2.9021e-01 -1.5327e-01 -6.3294e-02 +3.1034e-01 +2.1265e-01 -1.0259e+00 -8.8085e-02
107 +5.044942833e+03 +5.044942833e+03 +5.194092833e+03 +5.194092833e+03 -1.3956e-01 -8.6099e-02 -4.8073e-01 -7.5302e-01 -2.1121e+00 -4.2478e-01 +4.6173e-02 -5.7575e-01 +3.6975e-01 +1.1376e-01 -8.3201e-01 +6.2051e-01 -2.9754e-01 +1.3698e-01 -1.1633e-01 +3.1958e-01 +6.2436e-01 +3.8574e-02 -6.1350e-01 -2.7890e-01
