% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.833297738e+02 +3.833297738e+02 +1.383329774e+03 +1.383329774e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +3.609925529e+02 +3.609925529e+02 +1.360992553e+03 +1.360992553e+03 -1.1842e-01 +2.5305e-01 +7.9280e-02 -1.5732e-01 +1.5021e-01
5 +3.409159004e+02 +3.409159004e+02 +1.340915900e+03 +1.340915900e+03 +3.0284e-01 +2.4731e-01 -1.7836e-01 -2.0314e-02 -2.1049e-01
7 +3.317922161e+02 +3.317922161e+02 +1.331792216e+03 +1.331792216e+03 +1.1640e-01 -8.5636e-03 +3.8301e-01 -3.1022e-02 -2.3007e-02
10 +2.745347809e+02 +2.745347809e+02 +1.274534781e+03 +1.274534781e+03 -4.8774e-02 +2.1977e-01 +6.3809e-01 +3.7617e-01 -1.8655e-01
19 +2.564450728e+02 +2.564450728e+02 +1.256445073e+03 +1.256445073e+03 +4.8229e-02 +9.3955e-02 +9.1448e-01 +9.5954e-01 -1.0682e-01
28 +2.436922392e+02 +2.436922392e+02 +1.243692239e+03 +1.243692239e+03 -2.5257e-01 +6.0517e-01 +7.2082e-01 +5.0303e-01 +3.0247e-01
35 +2.144480831e+02 +2.144480831e+02 +1.214448083e+03 +1.214448083e+03 +7.7761e-02 -1.2360e-02 +7.7105e-01 +1.5276e+00 +4.3697e-01
37 +2.111114022e+02 +2.111114022e+02 +1.211111402e+03 +1.211111402e+03 +3.5465e-01 +8.5942e-01 +1.8943e-01 +2.0833e+00 -6.9677e-02
42 +1.969956150e+02 +1.969956150e+02 +1.196995615e+03 +1.196995615e+03 -1.7746e-01 +1.2857e+00 -4.3206e-01 +3.2347e+00 -8.7072e-02
43 +1.580862161e+02 +1.580862161e+02 +1.158086216e+03 +1.158086216e+03 +3.9555e-01 +1.8296e-01 +1.5631e+00 +2.5357e+00 +8.1102e-01
59 +1.520220410e+02 +1.520220410e+02 +1.152022041e+03 +1.152022041e+03 -9.1406e-01 +8.6541e-01 +1.2246e+00 +3.7150e+00 +9.4099e-01
62 +1.222616780e+02 +1.222616780e+02 +1.122261678e+03 +1.122261678e+03 +7.7172e-01 +2.4566e+00 +5.5868e-01 +4.5768e+00 +1.4108e+00
65 +1.057752598e+02 +1.057752598e+02 +1.105775260e+03 +1.105775260e+03 +9.6284e-03 +2.4946e+00 -1.6386e-01 +3.6498e+00 +4.8153e-01
66 +6.314622396e+01 +6.314622396e+01 +1.063146224e+03 +1.063146224e+03 +1.1137e-01 +2.5329e+00 +2.5527e+00 +3.6968e+00 +1.2463e+00
114 +5.282158421e+01 +5.282158421e+01 +1.052821584e+03 +1.052821584e+03 -1.6616e+00 +1.5250e+00 +2.3472e+00 +5.5786e+00 +3.9943e+00
150 +4.171370272e+01 +4.171370272e+01 +1.041713703e+03 +1.041713703e+03 -1.5907e+00 +4.3333e+00 +2.3132e+00 +4.9529e+00 +3.5251e+00
176 +4.063123705e+01 +4.063123705e+01 +1.040631237e+03 +1.040631237e+03 -1.4397e+00 +3.5553e+00 +2.3657e+00 +4.5690e+00 +3.9418e+00
209 +2.777604104e+01 +2.777604104e+01 +1.027776041e+03 +1.027776041e+03 -5.4872e-01 +3.5138e+00 +2.5018e+00 +4.7052e+00 +1.7346e+00
236 +2.188348469e+01 +2.188348469e+01 +1.021883485e+03 +1.021883485e+03 -9.5509e-01 +3.9048e+00 +2.7394e+00 +4.3562e+00 +2.5750e+00
490 +1.901729463e+01 +1.901729463e+01 +1.019017295e+03 +1.019017295e+03 -1.1708e+00 +2.6819e+00 +2.9192e+00 +4.2806e+00 +3.0231e+00
595 +1.796803931e+01 +1.796803931e+01 +1.017968039e+03 +1.017968039e+03 -1.1345e+00 +2.7123e+00 +2.8070e+00 +3.5753e+00 +3.0891e+00
637 +1.080756342e+01 +1.080756342e+01 +1.010807563e+03 +1.010807563e+03 -1.2184e+00 +2.6506e+00 +2.8637e+00 +3.6670e+00 +3.0392e+00
658 +1.066497552e+01 +1.066497552e+01 +1.010664976e+03 +1.010664976e+03 -1.1470e+00 +2.6315e+00 +2.8847e+00 +3.7205e+00 +3.0934e+00
665 +1.001481379e+01 +1.001481379e+01 +1.010014814e+03 +1.010014814e+03 -1.1918e+00 +2.6141e+00 +2.9491e+00 +3.6606e+00 +3.0797e+00
685 +9.160543990e+00 +9.160543990e+00 +1.009160544e+03 +1.009160544e+03 -1.1928e+00 +2.6763e+00 +2.8619e+00 +3.6909e+00 +3.1127e+00
686 +8.631919018e+00 +8.631919018e+00 +1.008631919e+03 +1.008631919e+03 -1.1761e+00 +2.6910e+00 +2.8256e+00 +3.6668e+00 +3.0810e+00
696 +8.034456920e+00 +8.034456920e+00 +1.008034457e+03 +1.008034457e+03 -1.1618e+00 +2.6778e+00 +2.8822e+00 +3.6569e+00 +3.0766e+00
734 +7.766491027e+00 +7.766491027e+00 +1.007766491e+03 +1.007766491e+03 -1.1586e+00 +2.6953e+00 +2.8523e+00 +3.6614e+00 +3.0776e+00
736 +7.628285723e+00 +7.628285723e+00 +1.007628286e+03 +1.007628286e+03 -1.1714e+00 +2.6612e+00 +2.8871e+00 +3.6631e+00 +3.0678e+00
773 +7.377316548e+00 +7.377316548e+00 +1.007377317e+03 +1.007377317e+03 -1.1818e+00 +2.6346e+00 +2.8773e+00 +3.6669e+00 +3.0982e+00
827 +7.240236472e+00 +7.240236472e+00 +1.007240236e+03 +1.007240236e+03 -1.1839e+00 +2.6706e+00 +2.8659e+00 +3.6638e+00 +3.0875e+00
880 +7.076945587e+00 +7.076945587e+00 +1.007076946e+03 +1.007076946e+03 -1.1894e+00 +2.6585e+00 +2.8771e+00 +3.6613e+00 +3.0794e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.421420674e+02 +1.421420674e+02 +2.121720674e+02 +2.121720674e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
20 +1.411555515e+02 +1.411555515e+02 +2.111855515e+02 +2.111855515e+02 +2.2274e-01 +2.2955e-01 -3.5700e-01 -1.7363e-01 -4.9301e-02
43 +1.124979621e+02 +1.124979621e+02 +1.825279621e+02 +1.825279621e+02 -1.4124e-01 -2.3274e-01 -5.9850e-01 -7.7356e-01 -4.6884e-01
54 +9.370501204e+01 +9.370501204e+01 +1.637350120e+02 +1.637350120e+02 -5.7887e-01 -5.8653e-01 -8.9716e-01 -1.3538e+00 -3.3226e-01
58 +8.348962416e+01 +8.348962416e+01 +1.535196242e+02 +1.535196242e+02 -1.8901e-01 -6.4491e-01 -7.5649e-01 -2.2824e+00 +9.4627e-02
65 +7.238527085e+01 +7.238527085e+01 +1.424152708e+02 +1.424152708e+02 +7.3641e-02 +4.8686e-02 -4.1146e-01 -2.3532e+00 -8.8194e-01
72 +6.738099501e+01 +6.738099501e+01 +1.374109950e+02 +1.374109950e+02 +8.0605e-02 -8.1989e-01 -1.6624e+00 -1.6237e+00 -5.9210e-01
89 +6.512644719e+01 +6.512644719e+01 +1.351564472e+02 +1.351564472e+02 -4.0264e-01 -6.1705e-01 -9.9360e-01 -1.7373e+00 -1.3260e+00
110 +4.198099307e+01 +4.198099307e+01 +1.120109931e+02 +1.120109931e+02 +1.1332e+00 -3.1793e-01 -1.7677e+00 -3.2190e+00 -9.1248e-01
