% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.423771670e+02 +6.423771670e+02 +1.642377167e+03 +1.642377167e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +6.164167888e+02 +6.164167888e+02 +1.616416789e+03 +1.616416789e+03 -7.5212e-02 +2.6182e-01 +1.9489e-02 +2.5737e-01 -1.0992e-01 -1.9742e-01 -2.6234e-01 -2.7402e-01 +1.4992e-01 +9.6117e-02 +2.1924e-02 +2.5560e-01 +1.4381e-01 +1.0855e-01 -1.4692e-01 +8.3340e-02 -5.5615e-02 +2.8608e-01 +3.2975e-01 +4.3901e-02
55 +5.834578373e+02 +5.834578373e+02 +1.583457837e+03 +1.583457837e+03 -2.0472e-01 +3.2567e-01 +3.2964e-01 +2.0215e-01 -9.3712e-02 +6.7115e-02 -2.0985e-01 -1.2028e-01 -8.9027e-02 +2.4010e-01 -1.3537e-01 +1.2783e-01 -8.2027e-01 -3.8054e-01 +2.7381e-01 +5.8282e-01 -7.4545e-02 +4.1745e-01 +2.4869e-01 +6.9416e-02
60 +5.617361418e+02 +5.617361418e+02 +1.561736142e+03 +1.561736142e+03 -1.8625e-02 +3.7478e-01 +4.2105e-01 +2.3262e-01 +1.8233e-01 +2.8685e-01 -3.0271e-01 -5.4896e-02 -8.2944e-02 +4.8509e-01 -1.3523e-01 +1.7615e-01 -7.2212e-01 -5.2068e-01 +2.4176e-01 +4.6213e-01 +5.4941e-02 +2.3687e-01 +1.2033e-01 -3.6188e-01
82 +5.426710711e+02 +5.426710711e+02 +1.542671071e+03 +1.542671071e+03 -2.0803e-01 +3.4912e-01 +5.3893e-01 +8.8886e-01 +3.8867e-03 +2.6590e-01 +2.3342e-01 -1.3179e-01 +1.6458e-01 +2.7639e-01 -1.8380e-01 +1.8276e-01 -3.7966e-01 -8.7306e-01 +2.3418e-01 +6.1742e-01 +3.4129e-02 +5.9813e-01 -1.6041e-01 -3.1204e-01
108 +5.360208852e+02 +5.360208852e+02 +1.536020885e+03 +1.536020885e+03 +2.5034e-01 +7.3762e-01 +2.2260e-01 +9.1359e-01 -1.7495e-01 +4.0654e-01 -1.8675e-01 +7.7170e-02 +3.3127e-01 +1.9812e-01 -1.1393e-01 +3.7643e-01 -6.4976e-01 -9.6865e-01 +2.4959e-01 +3.9993e-01 +1.7649e-01 +4.3892e-01 +1.5673e-01 -3.1105e-01
183 +5.081158375e+02 +5.081158375e+02 +1.508115838e+03 +1.508115838e+03 +6.3711e-01 +1.2023e+00 +1.1834e+00 +5.1975e-01 +1.6024e-01 +5.9981e-01 -2.7099e-01 +1.4482e-01 -3.4361e-01 +1.3980e-02 +1.5296e-01 +1.9916e-01 -1.0637e+00 -1.3430e+00 +1.2186e+00 -3.9311e-01 +8.6902e-01 -1.8576e-01 -5.3453e-02 -9.5847e-02
188 +4.650664757e+02 +4.650664757e+02 +1.465066476e+03 +1.465066476e+03 +1.0591e+00 +1.2426e+00 +1.8702e+00 +6.3629e-01 +6.5444e-01 +3.1114e-01 -3.6796e-01 -1.3318e-01 -1.1193e-01 +2.5278e-01 -1.9797e-01 +2.3164e-01 -1.3986e+00 -1.5977e+00 +9.6000e-01 -1.6007e-01 +8.0314e-01 -4.2537e-01 +1.3130e-01 +3.5842e-02
217 +4.187501546e+02 +4.187501546e+02 +1.418750155e+03 +1.418750155e+03 +4.4201e-01 +2.9203e+00 +9.4956e-01 +7.7151e-01 +8.2488e-01 -4.2315e-02 -2.5228e-01 +1.2518e-01 -2.3929e-01 +2.8719e-01 -1.4601e-01 -6.2361e-01 -1.5567e+00 -1.7517e+00 +6.1962e-01 +4.9101e-02 +6.9752e-01 -4.3289e-01 -6.8576e-02 +2.4223e-01
234 +4.008343820e+02 +4.008343820e+02 +1.400834382e+03 +1.400834382e+03 +5.4673e-01 +2.5450e+00 +7.7980e-01 +7.8656e-01 +8.4310e-01 -5.9935e-01 -2.9993e-01 +2.5314e-01 -4.1279e-01 +2.0497e-01 +1.7404e-01 -8.7183e-01 -8.1160e-01 -9.7681e-01 +1.8371e+00 +3.6589e-01 +1.0988e+00 -6.6638e-01 -4.5513e-01 +5.8361e-01
243 +3.791169900e+02 +3.791169900e+02 +1.379116990e+03 +1.379116990e+03 +2.5533e-01 +1.6111e+00 +9.3469e-01 +1.3663e+00 +9.1627e-01 -1.2728e+00 -3.5314e-01 +5.6825e-01 -5.2880e-01 +3.3396e-01 +2.1670e-01 -1.4047e+00 -1.5311e+00 -1.0027e+00 +1.2452e+00 +5.2671e-01 +6.1008e-01 +5.6942e-02 +3.5539e-01 +2.6107e-01
252 +3.536879422e+02 +3.536879422e+02 +1.353687942e+03 +1.353687942e+03 +1.0214e+00 +2.0762e+00 +6.1036e-01 +9.9662e-01 +1.1052e+00 -1.5026e+00 -2.6010e-01 +7.7593e-01 -1.2023e-01 +2.6403e-01 +2.0735e-01 -2.0255e+00 -1.3129e+00 -6.1760e-01 +1.9453e+00 +4.0895e-01 +1.3209e+00 +1.2102e-01 +4.3510e-01 +8.0561e-02
