% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.817093392e+01 +1.817093392e+01 +2.504093392e+01 +2.504093392e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +7.307161174e+00 +7.307161174e+00 +1.417716117e+01 +1.417716117e+01 -8.2463e-02 -1.6598e-01 -1.9796e-01 -1.1777e-01 -1.5753e-01 +1.4018e-01 -1.5784e-01 +1.4946e-01 -2.2739e-01 +2.2440e-01 +1.8042e-01 +1.3209e-01 +4.1581e-02 -3.6307e-01 -1.8675e-01 +1.2000e-01 -5.4374e-02 +4.8421e-02 -1.0111e-01 -5.1946e-02
4 +6.690647004e+00 +6.690647004e+00 +1.356064700e+01 +1.356064700e+01 -8.2572e-02 +9.4069e-02 -9.4145e-02 +1.2844e-01 +5.6695e-02 -2.1811e-01 -1.1731e-01 +1.8769e-02 -9.0413e-02 +5.5575e-02 -2.0266e-01 -4.7014e-02 +1.1441e-01 -5.8189e-02 +1.2735e-02 -2.8816e-02 +4.3981e-03 +7.4542e-02 -2.2559e-02 +3.5688e-01
5 +5.957825794e+00 +5.957825794e+00 +1.282782579e+01 +1.282782579e+01 +4.6079e-01 -4.1890e-01 -2.7372e-01 +1.6005e-01 +2.2569e-02 -1.5311e-01 +6.8429e-02 -3.7540e-02 +1.9002e-04 -5.9968e-03 +2.6755e-01 +2.5647e-01 +8.8832e-02 +3.3716e-01 +1.1283e-01 -2.5517e-01 +1.9126e-03 -7.1018e-02 -2.3625e-01 +1.7543e-01
171 +5.654165858e+00 +5.654165858e+00 +1.252416586e+01 +1.252416586e+01 -7.1421e-01 -2.0201e+00 +2.8349e-01 -2.3588e-01 +9.6459e-01 -2.4539e-01 +5.7706e-01 +2.7184e-01 +8.2871e-01 -1.0186e+00 +7.0686e-02 +1.2744e+00 -3.6111e-01 +3.3099e-01 -5.5550e-02 +3.9237e-01 +3.7233e-01 +5.3877e-01 -1.2390e+00 +9.5575e-01
334 +5.279703140e+00 +5.279703140e+00 +1.214970314e+01 +1.214970314e+01 -3.5024e-01 -3.4066e-01 -3.7956e-01 -9.0577e-01 +1.1806e+00 -8.6168e-01 +1.0504e+00 +1.4927e-01 +9.8624e-01 -1.8418e+00 +1.1159e-01 +2.1717e+00 -1.0630e+00 -4.4374e-01 +4.4179e-01 -3.2242e-01 -3.3467e-01 +8.3155e-01 -8.6615e-01 +1.0622e+00
564 +4.883552975e+00 +4.883552975e+00 +1.175355297e+01 +1.175355297e+01 -4.9912e-01 -1.7469e+00 -1.0391e+00 +1.2185e-01 +1.1590e+00 -2.4599e-01 +8.5014e-01 +1.7656e-01 +2.2754e+00 -1.4083e+00 +4.4378e-01 +3.1160e+00 -9.0338e-01 -8.9284e-01 +6.7284e-01 +7.1241e-01 -4.7196e-01 +5.3776e-01 -5.5642e-01 +5.8543e-01
698 +4.046352309e+00 +4.046352309e+00 +1.091635231e+01 +1.091635231e+01 -5.1789e-01 -1.4765e+00 -1.1779e+00 +6.1085e-01 +9.7805e-01 -4.9776e-01 +6.0076e-01 +2.6432e-01 +2.0183e+00 -1.6344e+00 +1.2737e+00 +2.9554e+00 -4.8290e-01 -1.0941e+00 +7.1549e-01 +9.2392e-01 -6.3962e-01 +3.5311e-01 -5.5002e-01 +3.2693e-01
1669 +2.859551923e+00 +2.859551923e+00 +9.729551923e+00 +9.729551923e+00 -1.0679e+00 -8.5672e-01 -3.9200e-01 +4.1436e-01 +1.0033e+00 -1.7363e-01 +1.3116e+00 +3.8802e-01 +2.6204e+00 -3.2757e+00 +9.1927e-01 +2.9296e+00 -2.4239e-01 -2.8503e-01 +3.0321e+00 -3.7709e-01 -1.2122e+00 +1.1275e+00 -5.2045e-01 -1.1495e-01
3311 +2.726369038e+00 +2.726369038e+00 +9.596369038e+00 +9.596369038e+00 -1.6707e+00 -1.1812e+00 +2.6548e-01 -1.2743e-03 +1.0321e+00 -7.5142e-01 +1.5564e+00 -9.7901e-01 +3.0732e+00 -3.6611e+00 +1.1568e+00 +2.4125e+00 -3.1683e-01 +1.8548e-02 +4.0872e+00 -1.1038e+00 -1.6794e+00 +1.9864e+00 -8.6581e-01 -4.3008e-01
