% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.773964217e+03 +1.773964217e+03 +1.803934217e+03 +1.803934217e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
11 +1.730444119e+03 +1.730444119e+03 +1.760414119e+03 +1.760414119e+03 -3.5498e-01 -2.1436e-01 -2.1461e-01 -7.6914e-02 -5.3037e-02 +2.1770e-01 -3.7064e-02 +1.5205e-01 +1.7985e-01 -3.9056e-01 +3.6556e-02 -2.7492e-01 +2.8345e-01 -6.5347e-02 -1.5386e-01 -7.5835e-02 -1.4821e-01 -3.4011e-01 +1.7561e-01 +1.5217e-02
27 +1.683403476e+03 +1.683403476e+03 +1.713373476e+03 +1.713373476e+03 -2.3024e-01 -1.6263e-01 -4.3718e-01 -1.7950e-01 +2.0030e-01 +4.3848e-01 -3.6010e-02 +7.4017e-03 +2.0764e-01 -2.2014e-01 +2.3501e-01 +8.3882e-02 +4.0277e-01 -7.7501e-02 -1.8600e-01 +3.4380e-01 +1.8077e-02 -1.7641e-01 +1.6149e-01 +9.0131e-02
50 +1.649605699e+03 +1.649605699e+03 +1.679575699e+03 +1.679575699e+03 -1.8825e-01 -6.3838e-01 -3.4855e-01 +1.3773e-02 -2.6037e-01 +3.4983e-01 -4.1172e-01 +7.9527e-02 +3.1203e-01 -1.4697e-01 +4.3119e-01 -2.2554e-01 +8.1384e-01 +3.3401e-01 +1.4737e-01 +1.3522e-01 -1.1468e-03 +3.7379e-02 +2.3600e-01 -7.6216e-02
60 +1.621627696e+03 +1.621627696e+03 +1.651597696e+03 +1.651597696e+03 +2.6421e-01 -2.9019e-01 -4.9769e-01 +1.0282e-01 +1.7536e-01 +1.3492e-01 -7.8710e-02 -6.8131e-02 +4.3529e-03 -3.0698e-01 +1.9263e-01 -2.2939e-01 +5.5951e-01 +4.3585e-01 -1.3124e-01 -6.4655e-02 +8.5622e-02 -6.3949e-03 +3.7177e-01 -1.3492e-01
69 +1.512846921e+03 +1.512846921e+03 +1.542816921e+03 +1.542816921e+03 +1.7155e-01 -3.3697e-01 -6.1954e-01 -2.4126e-01 +2.6422e-01 +2.8710e-01 -3.6385e-01 -8.6269e-02 +3.1612e-01 -2.2521e-01 +1.8122e-01 -3.0219e-01 +8.0094e-01 +4.3181e-01 -1.5556e-01 +4.5496e-01 -5.8081e-01 -2.4646e-01 +5.9083e-01 -3.3170e-01
85 +1.472304098e+03 +1.472304098e+03 +1.502274098e+03 +1.502274098e+03 +1.5326e-01 -7.0802e-01 -8.7658e-01 -6.7543e-02 +1.8201e-01 +1.5060e-01 -6.7983e-01 -1.6109e-01 +3.6894e-01 -7.8124e-03 +2.7013e-01 -5.4748e-01 +8.0999e-01 +5.2550e-01 -3.6954e-01 +3.2666e-01 -4.2688e-01 -2.2926e-01 +8.3921e-01 -5.1951e-01
98 +1.444103432e+03 +1.444103432e+03 +1.474073432e+03 +1.474073432e+03 +9.2045e-01 -6.4549e-01 -1.2514e+00 -1.6404e-01 -6.7092e-02 -9.4134e-02 -6.6729e-01 -7.7630e-01 +6.7620e-01 -3.3240e-01 +2.0117e-01 -4.6615e-01 +7.1226e-01 +2.2477e-01 -4.7332e-01 +3.5058e-01 -6.0865e-01 -2.6229e-01 +8.7910e-01 -1.8494e-01
116 +1.410166606e+03 +1.410166606e+03 +1.440136606e+03 +1.440136606e+03 +6.5078e-01 -4.4587e-01 -9.5621e-01 -3.4488e-01 +2.1030e-01 -4.2628e-01 -6.6692e-01 -7.9639e-01 +4.3183e-02 -1.2181e-01 +7.3445e-01 -3.1374e-01 +8.9630e-01 +6.5443e-01 -7.1306e-01 -1.2464e-02 -9.2471e-01 -5.7863e-01 +1.4150e+00 -1.3571e-01
119 +1.369690675e+03 +1.369690675e+03 +1.399660675e+03 +1.399660675e+03 +7.9243e-01 -9.4384e-01 -6.8393e-01 -4.8533e-01 +2.2890e-01 -4.0104e-01 -1.0230e+00 -7.9348e-01 +3.5960e-01 +3.1773e-01 +4.5630e-01 -5.2571e-01 +9.6149e-01 +1.1794e+00 -8.7543e-01 +5.5935e-01 -7.7317e-01 -3.2766e-01 +1.7472e+00 -5.4577e-01
124 +1.280618033e+03 +1.280618033e+03 +1.310588033e+03 +1.310588033e+03 +8.2106e-01 -5.2314e-01 -8.0304e-01 +1.5049e-01 +7.6769e-02 +7.1874e-02 -1.4711e+00 -9.8296e-01 -2.2866e-01 +4.7864e-01 +4.3770e-01 -6.7905e-01 +1.1666e+00 +1.5477e+00 -1.3813e+00 +5.3347e-01 -1.1704e+00 -8.8671e-01 +1.3305e+00 -5.6751e-01
136 +1.235456017e+03 +1.235456017e+03 +1.265426017e+03 +1.265426017e+03 +7.5156e-01 -7.1956e-01 -1.2048e+00 +3.5182e-02 +1.3693e-01 +4.8845e-03 -1.0639e+00 -1.5568e+00 -7.9700e-01 -3.4915e-02 -5.6068e-02 +1.3698e-04 +1.3292e+00 +1.6030e+00 -1.3278e+00 +7.6326e-01 -1.2428e+00 -4.5248e-01 +1.6617e+00 -7.2214e-01
138 +1.172355953e+03 +1.172355953e+03 +1.202325953e+03 +1.202325953e+03 +9.1544e-01 -7.0090e-01 -6.5401e-01 +9.6268e-02 +8.8149e-01 -3.0450e-01 -2.0663e+00 -1.6237e+00 -6.5452e-01 +3.3588e-01 +5.2235e-01 -2.8189e-01 +1.0803e+00 +1.5139e+00 -6.4200e-01 +9.1535e-01 -1.4844e+00 -6.6683e-01 +1.6312e+00 -9.2005e-01
164 +1.130084574e+03 +1.130084574e+03 +1.160054574e+03 +1.160054574e+03 +9.2041e-01 -1.3549e+00 -1.8196e+00 +7.4586e-01 +9.4094e-01 +7.3467e-02 -2.4112e+00 -1.9885e+00 -7.4807e-02 -5.8095e-01 +4.8091e-01 -7.7061e-01 +2.0549e+00 +2.7694e-01 -7.3255e-01 +7.5914e-01 -1.1455e+00 -2.5846e-01 +1.6247e+00 -6.4230e-01
