% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.131124616e+02 +3.131124616e+02 +4.157224616e+02 +4.157224616e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +2.843237020e+02 +2.843237020e+02 +3.869337020e+02 +3.869337020e+02 -1.9316e-01 -3.1724e-01 -2.8210e-01 -7.1454e-02 +4.1355e-02 -2.5647e-01 -2.0968e-01 -4.5068e-01 -6.7749e-02 +2.8871e-02 -9.2905e-03 -7.5692e-02 -6.1871e-02 +2.1075e-01 +6.0447e-02 -5.5213e-02 -2.9124e-02 -1.1306e-01 -1.6051e-01 -8.2647e-03
20 +2.676999998e+02 +2.676999998e+02 +3.703099998e+02 +3.703099998e+02 -2.2142e-01 -2.8749e-01 -1.8216e-01 -4.5808e-01 -3.2699e-01 -3.0520e-01 -3.0701e-01 -5.9955e-02 +4.1721e-02 +5.2886e-01 +1.5699e-01 +7.1504e-02 -2.3454e-01 +1.1971e-01 -1.8000e-01 -3.1861e-01 +3.0729e-01 -1.1728e-01 -1.5675e-01 +1.2955e-01
50 +2.559580854e+02 +2.559580854e+02 +3.585680854e+02 +3.585680854e+02 -3.4273e-01 +2.6872e-01 +2.0480e-01 -2.5042e-01 -2.6216e-01 +4.7804e-01 -2.4466e-01 -2.5213e-01 +2.1635e-01 +3.1075e-01 +1.7994e-01 +1.0028e-01 -4.5361e-01 +2.1265e-01 -5.3675e-01 +8.1992e-02 +3.0853e-01 +1.1580e-01 +2.8569e-01 +3.2127e-01
204 +2.480882027e+02 +2.480882027e+02 +3.506982027e+02 +3.506982027e+02 -3.0887e-01 -5.0458e-02 -8.8878e-01 -9.6217e-02 -1.6263e-01 +1.4264e+00 -5.0949e-01 -7.1659e-02 -1.2843e-01 +6.1148e-01 -5.4945e-01 +4.9146e-01 -7.1500e-01 +6.0181e-01 -6.4737e-01 +7.2439e-01 -7.1879e-01 -3.5465e-01 +3.4399e-01 +3.1627e-01
212 +2.307974383e+02 +2.307974383e+02 +3.334074383e+02 +3.334074383e+02 -7.7676e-02 -1.1400e-01 -9.1074e-01 -4.2707e-02 -2.0340e-01 +1.3521e+00 -5.7598e-01 -3.8841e-02 -1.8469e-01 +7.6249e-01 -5.0614e-01 +4.5042e-01 -5.1054e-01 +6.0863e-01 -3.7754e-01 +4.7184e-01 -8.3105e-01 +1.4409e-01 +4.0322e-01 +2.0140e-01
275 +2.263707855e+02 +2.263707855e+02 +3.289807855e+02 +3.289807855e+02 -2.9493e-01 -1.0081e-01 -6.4686e-01 -8.6994e-03 -3.4192e-01 +1.4842e+00 -6.8896e-01 -2.2618e-01 -3.9419e-01 +8.9786e-01 -7.2832e-01 +3.0442e-01 -8.7603e-01 +8.5809e-01 -7.9402e-01 +3.7858e-01 -7.6280e-01 -2.8603e-02 +6.8840e-01 -2.9240e-01
431 +2.199056511e+02 +2.199056511e+02 +3.225156511e+02 +3.225156511e+02 -3.0033e-03 +1.4558e-01 -4.9141e-01 +7.1068e-01 +8.7039e-01 +7.7053e-01 -1.2241e+00 -9.5329e-01 -4.5409e-01 +9.3620e-01 -1.7230e+00 +4.1015e-01 -6.7657e-01 +3.6938e-01 -7.7584e-01 +3.4559e-01 -1.2361e+00 -4.4870e-01 +1.4181e+00 -2.6886e-01
506 +1.920606491e+02 +1.920606491e+02 +2.946706491e+02 +2.946706491e+02 +1.3969e-01 +5.1294e-01 -4.9093e-01 +1.1450e+00 +3.5343e-01 +4.3284e-01 -7.8284e-01 -1.0631e+00 -4.0403e-01 +1.1417e+00 -2.1677e+00 +3.4528e-02 -7.3470e-01 +1.7134e-01 -9.6155e-01 +2.2240e-02 -1.1097e+00 -6.6799e-01 +1.6988e+00 +3.3582e-01
1093 +1.888657573e+02 +1.888657573e+02 +2.914757573e+02 +2.914757573e+02 +9.4478e-01 +4.5124e-01 -2.8012e-01 +2.7241e-01 -1.0183e-01 +3.3490e-02 -1.3643e+00 -1.1713e+00 +4.0370e-02 +1.2416e+00 -1.6012e+00 -1.4495e+00 -9.7746e-01 -2.5169e-01 -1.0762e+00 +1.7583e-01 -5.8759e-01 -1.9966e+00 +2.0251e+00 -6.6962e-01
