% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.352046650e+01 +1.352046650e+01 +5.430046650e+01 +5.430046650e+01 +0.0000e+00 +0.0000e+00
2 +1.110891694e+01 +1.110891694e+01 +5.188891694e+01 +5.188891694e+01 -1.0325e-01 -1.2639e-02
5 +9.091577724e+00 +9.091577724e+00 +4.987157772e+01 +4.987157772e+01 -2.4609e-01 -3.8206e-02
15 +8.223631487e+00 +8.223631487e+00 +4.900363149e+01 +4.900363149e+01 -5.5684e-01 -2.8274e-02
16 +7.876248894e+00 +7.876248894e+00 +4.865624889e+01 +4.865624889e+01 -3.9191e-01 -1.3674e-01
25 +5.683392974e+00 +5.683392974e+00 +4.646339297e+01 +4.646339297e+01 -6.6568e-01 -4.9480e-01
27 +2.049262069e+00 +2.049262069e+00 +4.282926207e+01 +4.282926207e+01 -1.3481e+00 -6.3366e-01
37 +1.602823621e-01 +1.602823621e-01 +4.094028236e+01 +4.094028236e+01 -1.7850e+00 -1.3104e+00
65 +4.966174896e-02 +4.966174896e-02 +4.082966175e+01 +4.082966175e+01 -2.5044e+00 -1.6190e+00
83 +4.482698745e-04 +4.482698745e-04 +4.078044827e+01 +4.078044827e+01 -2.5248e+00 -1.8441e+00
89 +6.624073453e-05 +6.624073453e-05 +4.078006624e+01 +4.078006624e+01 -2.4309e+00 -1.7418e+00
104 +2.239813631e-05 +2.239813631e-05 +4.078002240e+01 +4.078002240e+01 -2.4380e+00 -1.7251e+00
139 +7.296252036e-06 +7.296252036e-06 +4.078000730e+01 +4.078000730e+01 -2.4643e+00 -1.7604e+00
194 +2.742115008e-06 +2.742115008e-06 +4.078000274e+01 +4.078000274e+01 -2.4744e+00 -1.7488e+00
198 +1.467371369e-06 +1.467371369e-06 +4.078000147e+01 +4.078000147e+01 -2.4748e+00 -1.7577e+00
204 +3.509410149e-07 +3.509410149e-07 +4.078000035e+01 +4.078000035e+01 -2.5081e+00 -1.7743e+00
276 +2.892661115e-07 +2.892661115e-07 +4.078000029e+01 +4.078000029e+01 -2.5227e+00 -1.8010e+00
285 +2.867651432e-07 +2.867651432e-07 +4.078000029e+01 +4.078000029e+01 -2.5417e+00 -1.8063e+00
292 +2.217252799e-07 +2.217252799e-07 +4.078000022e+01 +4.078000022e+01 -2.5377e+00 -1.8014e+00
293 +9.915596877e-08 +9.915596877e-08 +4.078000010e+01 +4.078000010e+01 -2.5288e+00 -1.7935e+00
299 +1.012757878e-09 +1.012757878e-09 +4.078000000e+01 +4.078000000e+01 -2.5212e+00 -1.7916e+00
672 +0.000000000e+00 +0.000000000e+00 +4.078000000e+01 +4.078000000e+01 -2.5151e+00 -1.7876e+00
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.007714199e+01 +1.007714199e+01 +8.477141989e+00 +8.477141989e+00 +0.0000e+00 +0.0000e+00
2 +9.973512042e+00 +9.973512042e+00 +8.373512042e+00 +8.373512042e+00 +3.6534e-02 +6.2045e-02
3 +8.344279345e+00 +8.344279345e+00 +6.744279345e+00 +6.744279345e+00 +1.1879e-01 +4.1903e-01
5 +7.112514303e+00 +7.112514303e+00 +5.512514303e+00 +5.512514303e+00 -2.7494e-01 +1.3370e-01
18 +5.260597212e+00 +5.260597212e+00 +3.660597212e+00 +3.660597212e+00 -3.2575e-01 +3.0877e-01
27 +3.983344184e+00 +3.983344184e+00 +2.383344184e+00 +2.383344184e+00 -4.0952e-01 +3.9815e-01
29 +3.137909492e+00 +3.137909492e+00 +1.537909492e+00 +1.537909492e+00 -5.0289e-01 +4.7075e-01
35 +2.669485049e+00 +2.669485049e+00 +1.069485049e+00 +1.069485049e+00 -5.7324e-01 +3.9626e-01
42 +2.059405754e+00 +2.059405754e+00 +4.594057538e-01 +4.594057538e-01 -9.2813e-01 +3.0925e-01
58 +1.943355035e+00 +1.943355035e+00 +3.433550351e-01 +3.433550351e-01 -1.2574e+00 +5.0018e-01
% function evaluation | noise-free fitness - Fopt (-3.708400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.459683778e+01 +1.459683778e+01 -3.562431622e+02 -3.562431622e+02 +0.0000e+00 +0.0000e+00
2 +1.291961012e+01 +1.291961012e+01 -3.579203899e+02 -3.579203899e+02 +2.1514e-01 -6.9071e-02
4 +1.123021610e+01 +1.123021610e+01 -3.596097839e+02 -3.596097839e+02 +1.9228e-01 +4.5417e-02
9 +1.062789592e+01 +1.062789592e+01 -3.602121041e+02 -3.602121041e+02 +2.9191e-01 +2.8098e-01
10 +1.014390680e+01 +1.014390680e+01 -3.606960932e+02 -3.606960932e+02 +6.0693e-01 -9.1838e-02
12 +7.425154548e+00 +7.425154548e+00 -3.634148455e+02 -3.634148455e+02 +6.9239e-01 +6.6194e-02
20 +7.362167859e+00 +7.362167859e+00 -3.634778321e+02 -3.634778321e+02 +1.2410e+00 +2.2892e-01
24 +2.436076757e+00 +2.436076757e+00 -3.684039232e+02 -3.684039232e+02 +1.2138e+00 -9.9436e-02
