% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.021155843e+01 +8.021155843e+01 +1.209915584e+02 +1.209915584e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 +7.906144722e+01 +7.906144722e+01 +1.198414472e+02 +1.198414472e+02 -9.0357e-02 +2.3266e-02 +7.2625e-02 -1.0804e-01 +4.5504e-01 -2.7292e-02 +2.3030e-01 +6.0769e-02 +1.2934e-02 +1.0990e-01 +3.3462e-02 -5.6037e-02 -7.5624e-02 +2.0878e-01 -1.4198e-01 -2.0175e-01 -4.5728e-01 +3.0075e-01 +7.4808e-02 +2.2486e-01
31 +7.701784351e+01 +7.701784351e+01 +1.177978435e+02 +1.177978435e+02 -2.3470e-01 +2.2208e-01 +1.5470e-01 +8.3372e-02 +6.4531e-01 -4.6168e-01 +4.2457e-02 +4.6273e-01 +9.4239e-02 +9.0082e-02 +9.4155e-02 +1.0896e-01 -3.0983e-01 +1.2467e-01 -1.3903e-01 +2.4117e-01 +3.7908e-01 +1.0244e-01 +4.3248e-01 -1.2282e-01
43 +7.552642158e+01 +7.552642158e+01 +1.163064216e+02 +1.163064216e+02 -3.7653e-01 +3.0504e-01 +2.6866e-01 -1.5577e-01 +1.0646e+00 -3.8798e-01 -7.4504e-02 +4.2032e-01 +9.0242e-02 +2.8511e-01 +2.8600e-02 +2.6653e-01 -2.5680e-01 -9.2630e-02 +2.2775e-01 +1.7154e-01 +5.6786e-01 +3.7788e-01 +5.2038e-01 +2.5807e-01
62 +7.366785661e+01 +7.366785661e+01 +1.144478566e+02 +1.144478566e+02 -7.0338e-01 +2.4926e-01 +6.8428e-01 +4.4337e-02 +1.4992e+00 -3.2509e-01 +1.2233e-01 +6.3415e-01 +5.4702e-01 +2.7007e-01 +4.5956e-01 +5.9015e-02 -1.3714e-01 -5.6791e-01 +4.0214e-01 -2.2375e-01 +2.3398e-01 +7.3610e-01 +2.9345e-01 -1.1152e-01
81 +7.199575606e+01 +7.199575606e+01 +1.127757561e+02 +1.127757561e+02 -9.3078e-01 -2.7274e-02 +1.2764e+00 +4.4185e-02 +1.2511e+00 -5.7404e-01 +1.5068e-02 +5.4305e-01 +5.0026e-01 +3.7338e-01 +4.3343e-01 -8.2692e-02 -2.3276e-01 +1.5615e-02 +7.5359e-01 +9.7351e-02 -1.0647e-01 +8.3828e-01 +4.2764e-01 +7.3619e-02
82 +7.009332118e+01 +7.009332118e+01 +1.108733212e+02 +1.108733212e+02 -5.2882e-01 +2.3545e-01 +9.2406e-01 +2.1084e-01 +1.5225e+00 +8.6575e-02 -2.6991e-01 +8.1271e-01 +9.6744e-01 +2.2271e-01 +1.4247e-01 +1.5327e-01 -6.6358e-01 -1.7103e-01 +1.0277e+00 +7.7601e-02 +1.7083e-01 +7.9845e-01 +6.8071e-01 -2.4678e-01
104 +6.892270095e+01 +6.892270095e+01 +1.097027010e+02 +1.097027010e+02 -8.6539e-01 +2.2786e-01 +1.3355e+00 -5.3222e-02 +1.8686e+00 -5.0082e-01 -2.8930e-02 +1.0732e+00 +9.6752e-01 +6.0821e-01 +1.4191e-01 -2.0511e-01 -7.9306e-01 -5.4609e-02 +5.9270e-01 +4.7143e-01 +7.6960e-01 +6.6143e-01 +4.5527e-01 -2.8895e-01
114 +6.662130466e+01 +6.662130466e+01 +1.074013047e+02 +1.074013047e+02 -1.6493e+00 +4.0212e-01 +2.0809e+00 +2.8703e-01 +1.5918e+00 +1.1340e-01 -6.2182e-01 +7.9666e-01 +8.3622e-01 +2.6059e-01 +6.0709e-02 -3.1477e-01 -5.2607e-01 -5.5682e-01 +1.0609e+00 +4.5888e-01 +6.2441e-01 +1.4050e+00 +1.1822e+00 -3.4372e-01
134 +6.606804144e+01 +6.606804144e+01 +1.068480414e+02 +1.068480414e+02 -1.3817e+00 +4.8993e-02 +2.2257e+00 +9.7397e-02 +1.6314e+00 +4.0980e-01 -2.6604e-01 +9.5487e-01 +6.9052e-01 +5.7974e-01 -4.4240e-01 +3.5537e-01 -6.0078e-01 -1.8921e-01 +5.4540e-01 +4.4101e-01 +1.1508e+00 +7.2925e-01 +1.0185e+00 +6.0527e-02
143 +6.437188841e+01 +6.437188841e+01 +1.051518884e+02 +1.051518884e+02 -1.3919e+00 -3.7025e-01 +2.2199e+00 -1.5032e-01 +2.1793e+00 +9.5820e-01 +2.1696e-03 +1.0009e+00 +6.9829e-01 +8.3723e-01 -5.5754e-04 +2.7120e-01 -4.6668e-01 -4.3151e-01 +8.5358e-01 +4.4886e-01 +1.1826e+00 +7.5813e-01 +1.0856e+00 -8.2838e-02
146 +6.163579867e+01 +6.163579867e+01 +1.024157987e+02 +1.024157987e+02 -1.6471e+00 -5.0339e-01 +2.2930e+00 +6.3660e-02 +2.0862e+00 +2.8705e-01 -2.1747e-01 +1.6547e+00 +7.5596e-01 +1.0220e+00 -2.2672e-01 +3.8493e-01 -5.1432e-01 -4.6539e-01 +7.9967e-01 +4.7850e-01 +1.4712e+00 +1.2970e+00 +1.0236e+00 +2.8154e-01
162 +5.885931772e+01 +5.885931772e+01 +9.963931772e+01 +9.963931772e+01 -1.2445e+00 -1.4658e-01 +2.6292e+00 +1.3733e-01 +1.7655e+00 +5.7025e-01 -2.6363e-01 +2.1074e+00 +1.4291e+00 +1.9319e+00 +7.3503e-01 -1.3648e-01 -1.0079e+00 -3.8842e-01 +1.1892e+00 +3.2231e-01 +1.1674e+00 +7.7442e-01 +1.5549e+00 +2.6100e-02
163 +5.740826182e+01 +5.740826182e+01 +9.818826182e+01 +9.818826182e+01 -2.4397e+00 -5.7073e-01 +2.8258e+00 -1.4571e-01 +1.7586e+00 +3.5127e-01 -3.6421e-01 +1.6745e+00 +1.0419e+00 +9.8323e-01 +2.6984e-01 -5.4233e-02 -6.0664e-01 -3.8268e-01 +1.3328e+00 +9.0424e-02 +1.0531e+00 +9.7886e-01 +1.3201e+00 +1.0914e-01
171 +5.328209434e+01 +5.328209434e+01 +9.406209434e+01 +9.406209434e+01 -1.6607e+00 -6.2410e-01 +2.8095e+00 -2.3994e-01 +2.0957e+00 +7.4163e-01 -5.7836e-01 +2.0242e+00 +1.4462e+00 +1.7786e+00 +2.0880e-01 -1.1106e-01 -1.2370e+00 -3.1839e-01 +1.1657e+00 -1.1701e-01 +1.2447e+00 +9.4759e-01 +1.3070e+00 +3.3196e-01
174 +5.164536468e+01 +5.164536468e+01 +9.242536468e+01 +9.242536468e+01 -2.0419e+00 -4.1124e-01 +2.7401e+00 +2.0177e-01 +1.2284e+00 +1.1904e+00 -2.6040e-01 +1.8081e+00 +1.2278e+00 +1.2974e+00 +2.3381e-01 +4.0141e-01 -7.7291e-01 +4.8955e-03 +1.5847e+00 +5.1843e-02 +1.2791e+00 +1.1959e+00 +1.5888e+00 +3.1004e-01
179 +4.883591373e+01 +4.883591373e+01 +8.961591373e+01 +8.961591373e+01 -1.6682e+00 -9.3130e-01 +2.8805e+00 +3.4894e-01 +1.3739e+00 +9.5869e-01 -5.0649e-01 +2.0621e+00 +1.5481e+00 +1.4616e+00 -1.5719e-01 +1.1209e-02 -6.6800e-01 -7.2619e-02 +1.9879e+00 -3.6733e-01 +1.3832e+00 +1.1229e+00 +1.3242e+00 +4.5497e-01
204 +4.115798286e+01 +4.115798286e+01 +8.193798286e+01 +8.193798286e+01 -1.2187e+00 -1.4721e+00 +2.8111e+00 +3.0715e-01 +1.5381e+00 -2.1128e-01 -7.4382e-01 +2.3437e+00 +2.1346e+00 +1.2563e+00 -1.5594e-01 +4.7413e-01 -1.1529e+00 +1.1692e+00 +1.0971e+00 +5.1215e-02 +9.0559e-01 +1.4301e+00 +2.3179e+00 +4.4357e-01
215 +3.755797313e+01 +3.755797313e+01 +7.833797313e+01 +7.833797313e+01 -8.3510e-01 -1.2393e+00 +2.9823e+00 +9.6964e-01 +1.3443e+00 +2.7852e-01 -1.2018e+00 +2.7331e+00 +1.9392e+00 +1.2486e+00 -5.1999e-01 +7.8346e-01 -1.4466e+00 +5.1768e-01 +1.8444e+00 +6.0915e-01 +7.4730e-01 +1.1400e+00 +1.8397e+00 +2.0516e-01
218 +3.626040595e+01 +3.626040595e+01 +7.704040595e+01 +7.704040595e+01 -6.1870e-01 -1.6466e+00 +3.2280e+00 +9.4124e-01 +1.5914e+00 +6.6564e-01 -5.4754e-01 +2.3492e+00 +2.4030e+00 +1.4116e+00 -2.9119e-01 +9.2273e-01 -1.9074e+00 +3.7658e-01 +1.7870e+00 -4.5558e-01 +8.5816e-01 +1.5710e+00 +2.2291e+00 +2.9416e-01
223 +3.335939275e+01 +3.335939275e+01 +7.413939275e+01 +7.413939275e+01 -6.1236e-01 -1.4216e+00 +3.0776e+00 +6.2584e-01 +2.1345e+00 +5.2846e-02 -1.0314e+00 +2.0869e+00 +3.1446e+00 +1.3039e+00 +4.4655e-01 +4.2872e-01 -8.8802e-01 +1.4975e+00 +2.2307e+00 +3.9391e-01 +1.0184e+00 +1.7315e+00 +2.1160e+00 +1.2943e-01
224 +3.293939007e+01 +3.293939007e+01 +7.371939007e+01 +7.371939007e+01 -1.3943e+00 -1.9637e+00 +3.0682e+00 +8.5035e-01 +1.5233e+00 +4.1650e-01 -1.2061e+00 +2.3699e+00 +2.5038e+00 +1.5104e+00 -2.7014e-01 +8.4318e-01 -1.6496e+00 +1.1031e+00 +2.2188e+00 -1.6827e-01 +4.1210e-01 +1.4470e+00 +2.3835e+00 +8.7819e-01
231 +2.736152284e+01 +2.736152284e+01 +6.814152284e+01 +6.814152284e+01 -1.6927e+00 -2.0934e+00 +3.2121e+00 +5.1600e-01 +1.5192e+00 +8.0424e-01 -1.5837e+00 +2.1869e+00 +2.4968e+00 +1.5389e+00 -8.4351e-02 +1.6964e-01 -1.2112e+00 +1.4230e+00 +2.8103e+00 +6.4058e-01 -2.2209e-01 +1.8713e+00 +2.3030e+00 +2.6967e-01
260 +2.647015397e+01 +2.647015397e+01 +6.725015397e+01 +6.725015397e+01 -1.4535e+00 -1.9918e+00 +3.4973e+00 +4.3474e-01 +9.2231e-01 +1.2459e+00 -1.6204e+00 +1.9679e+00 +2.9526e+00 +3.3377e-01 +1.3783e-01 +9.6586e-01 -1.3271e+00 +1.7893e+00 +3.7687e+00 +6.0499e-01 +1.1163e+00 +2.8511e+00 +2.0175e+00 +2.2681e-01
264 +2.448859814e+01 +2.448859814e+01 +6.526859814e+01 +6.526859814e+01 -1.2136e+00 -2.0624e+00 +3.4886e+00 +6.4840e-01 +1.7299e+00 +6.5431e-01 -1.6509e+00 +2.0972e+00 +3.5618e+00 +2.6165e-01 +4.4643e-01 +6.2938e-01 -1.8997e+00 +1.1839e+00 +2.8202e+00 +7.2982e-01 +1.4650e+00 +2.8151e+00 +2.1816e+00 +3.3853e-01
276 +2.252690704e+01 +2.252690704e+01 +6.330690704e+01 +6.330690704e+01 -8.2879e-01 -3.3748e+00 +3.2299e+00 +7.4963e-01 +1.9818e+00 +1.7465e+00 -2.0918e+00 +1.6339e+00 +3.3883e+00 +3.9316e-01 +1.3072e-01 +9.2863e-01 -1.8784e+00 +2.3197e+00 +2.9426e+00 +1.2668e+00 +1.7339e+00 +2.6618e+00 +2.6358e+00 -1.0264e-01
277 +2.217859106e+01 +2.217859106e+01 +6.295859106e+01 +6.295859106e+01 -1.5769e+00 -2.2550e+00 +3.4716e+00 +8.0407e-02 +1.3573e+00 +1.6963e+00 -1.7461e+00 +1.9603e+00 +3.3136e+00 +3.8014e-01 +3.7374e-01 +9.6171e-01 -1.0521e+00 +1.5116e+00 +2.6237e+00 +4.5407e-01 +1.0408e+00 +2.5515e+00 +1.8898e+00 +3.9496e-01
