% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.012777594e+06 +3.012777594e+06 +3.012722654e+06 +3.012722654e+06 +0.0000e+00 +0.0000e+00
3 +2.546309830e+06 +2.546309830e+06 +2.546254890e+06 +2.546254890e+06 +2.9760e-01 -1.7649e-01
6 +2.273640393e+06 +2.273640393e+06 +2.273585453e+06 +2.273585453e+06 -1.0895e-01 -1.8513e-01
12 +2.227240605e+06 +2.227240605e+06 +2.227185665e+06 +2.227185665e+06 +8.9837e-03 -2.3294e-01
16 +2.091618263e+06 +2.091618263e+06 +2.091563323e+06 +2.091563323e+06 +2.2208e-01 -3.7170e-01
18 +8.941103181e+05 +8.941103181e+05 +8.940553781e+05 +8.940553781e+05 +6.6805e-02 -9.0348e-01
26 +5.032729849e+05 +5.032729849e+05 +5.032180449e+05 +5.032180449e+05 -6.4537e-02 -1.1175e+00
27 +7.356249097e+04 +7.356249097e+04 +7.350755097e+04 +7.350755097e+04 -2.7916e-01 -2.0989e+00
29 +5.476716890e+04 +5.476716890e+04 +5.471222890e+04 +5.471222890e+04 +4.6502e-02 -1.6522e+00
33 +7.741574083e+03 +7.741574083e+03 +7.686634083e+03 +7.686634083e+03 +7.4750e-02 -1.8092e+00
43 +3.954592050e+03 +3.954592050e+03 +3.899652050e+03 +3.899652050e+03 +9.8839e-02 -1.8335e+00
56 +1.620449722e+03 +1.620449722e+03 +1.565509722e+03 +1.565509722e+03 -1.5735e-01 -1.8863e+00
58 +9.738568807e+02 +9.738568807e+02 +9.189168807e+02 +9.189168807e+02 +8.1111e-02 -1.8651e+00
78 +8.801638536e+02 +8.801638536e+02 +8.252238536e+02 +8.252238536e+02 +3.5802e-01 -1.9300e+00
81 +1.494532861e+02 +1.494532861e+02 +9.451328607e+01 +9.451328607e+01 +1.4925e-01 -1.9020e+00
100 +5.170364097e+01 +5.170364097e+01 -3.236359031e+00 -3.236359031e+00 +2.5835e-01 -1.9455e+00
101 +4.212791300e+00 +4.212791300e+00 -5.072720870e+01 -5.072720870e+01 +2.6458e-01 -1.9392e+00
1445 +4.168488280e+00 +4.168488280e+00 -5.077151172e+01 -5.077151172e+01 +2.5984e-01 -1.9383e+00
2531 +4.072880175e+00 +4.072880175e+00 -5.086711983e+01 -5.086711983e+01 +2.4568e-01 -1.9352e+00
