% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.128259773e+05 +5.128259773e+05 +5.129022473e+05 +5.129022473e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
10 +3.099161439e+05 +3.099161439e+05 +3.099924139e+05 +3.099924139e+05 -7.0488e-02 -1.8288e-01 -2.1749e-01 -1.5144e-01 -2.1011e-01 -1.5342e-01 -2.5339e-01 +1.9075e-01 -1.0119e-01 +1.0453e-01 -5.8897e-02 -1.4062e-01 -2.2552e-02 +4.1997e-02 +2.5542e-02 -2.5294e-02 -3.4758e-01 -2.4087e-01 +6.5352e-01 +4.8791e-02
19 +7.117473611e+04 +7.117473611e+04 +7.125100611e+04 +7.125100611e+04 -4.3692e-01 -4.8876e-01 -1.0338e-01 -3.9350e-01 -1.2231e-01 -1.2639e-01 -3.5823e-01 -8.2192e-03 +3.7099e-01 +1.8372e-01 +2.7254e-01 +1.4018e-01 +1.6984e-01 +2.1485e-01 +3.8328e-02 +1.9561e-01 -1.0007e-01 -1.9267e-01 +1.6911e-01 -8.5685e-02
25 +6.530803399e+04 +6.530803399e+04 +6.538430399e+04 +6.538430399e+04 +1.3053e-01 -1.4904e-01 -8.9173e-02 -3.5648e-01 -1.0966e-01 +8.2094e-02 -5.6476e-01 +3.2602e-02 -5.7135e-02 +2.9176e-02 +3.2623e-01 +1.5150e-01 +3.0449e-01 +3.1444e-01 +6.5113e-02 +9.1455e-02 -2.6148e-01 -2.9344e-01 +1.2880e-01 +2.5076e-01
26 +1.004282980e+02 +1.004282980e+02 +1.766982980e+02 +1.766982980e+02 -2.5434e-01 -4.2013e-01 -4.7598e-01 -4.9583e-01 +4.8896e-02 -1.8566e-01 -4.8772e-01 +1.5407e-01 +4.1008e-01 -1.2822e-01 -1.1128e-01 +2.5166e-01 +3.3671e-01 +3.8512e-02 -1.0961e-03 +1.5537e-01 -1.6125e-01 -1.2678e-01 +8.2993e-02 +3.9062e-01
76 +9.639567982e+01 +9.639567982e+01 +1.726656798e+02 +1.726656798e+02 -5.5549e-01 -7.4523e-01 -6.6101e-01 -5.8671e-01 -2.5379e-01 +7.5202e-01 -2.3677e-01 +2.8439e-01 -3.7419e-01 +2.3097e-01 -6.8021e-01 +3.9110e-01 -6.8775e-02 -2.6939e-01 +1.2466e-01 +5.2687e-01 +3.7806e-01 +1.1407e-01 +3.0664e-01 +7.9521e-01
435 +9.547598559e+01 +9.547598559e+01 +1.717459856e+02 +1.717459856e+02 -6.4124e-01 -1.1340e+00 +3.8873e-01 -5.8372e-01 -1.1398e-01 -1.1785e-01 -2.9000e-01 -2.4268e-01 +2.8895e-01 +7.8797e-01 -9.5993e-01 +1.0584e+00 -3.4455e-01 +1.1376e+00 +3.6034e-01 +8.8159e-01 +3.7659e-02 +3.1299e-01 -5.1327e-01 +1.3278e+00
834 +9.305231469e+01 +9.305231469e+01 +1.693223147e+02 +1.693223147e+02 +6.5445e-01 -1.7030e+00 +1.0243e+00 -7.6630e-01 -5.5520e-01 -1.1411e+00 +8.7378e-02 -3.3472e-01 +1.7198e-01 +9.2655e-01 -9.9135e-01 +1.1495e+00 -1.5433e-01 +1.0176e+00 +3.2541e-01 +1.2402e+00 -9.3392e-02 -5.8346e-01 +1.8183e-01 +1.6202e+00
977 +8.587748359e+01 +8.587748359e+01 +1.621474836e+02 +1.621474836e+02 +3.7145e-01 -2.2145e+00 +1.0136e+00 -6.7357e-01 -6.1719e-01 -1.5806e+00 +4.0781e-01 -1.2174e-01 +6.5659e-02 +5.9171e-01 -1.0063e+00 +9.9320e-01 -1.2198e-01 +1.2437e+00 +3.2420e-01 +7.4656e-01 -3.0724e-01 -6.9866e-01 -2.4178e-04 +1.4906e+00
1089 +8.398631249e+01 +8.398631249e+01 +1.602563125e+02 +1.602563125e+02 +3.6517e-01 -1.9904e+00 +1.1812e+00 -6.6274e-01 -9.7570e-01 -1.7225e+00 +3.9654e-01 -7.0072e-03 +2.2568e-01 +7.1649e-01 -1.2354e+00 +7.9627e-01 -2.0615e-01 +1.7947e+00 +1.7052e-01 +6.7455e-01 -9.0649e-02 -9.0137e-01 +2.1346e-01 +1.7342e+00
