% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.743465359e+05 +7.743465359e+05 +7.743824359e+05 +7.743824359e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
7 +7.314870088e+05 +7.314870088e+05 +7.315229088e+05 +7.315229088e+05 -2.3119e-01 +2.3901e-01 +4.8467e-01 +1.0306e-01 -1.3563e-01 -1.8695e-01 +1.0807e-01 -1.4604e-03 -1.6877e-02 -1.7165e-01 -8.2230e-02 +1.1479e-01 +1.3161e-01 -1.0569e-02 -4.0343e-03 +8.5435e-02 -2.0210e-01 -3.6748e-01 -1.4043e-02 -2.1560e-01
14 +6.356526077e+05 +6.356526077e+05 +6.356885077e+05 +6.356885077e+05 +8.6408e-02 -7.4331e-04 +5.6799e-01 +3.5677e-01 -7.2864e-03 +3.0110e-02 +1.5674e-01 -1.8785e-01 -3.9060e-02 -2.0903e-01 -3.1156e-01 +1.5058e-01 -6.1254e-02 +1.0524e-01 +1.8515e-01 -1.3495e-01 -3.6875e-01 +1.9334e-02 -8.3770e-02 -5.3637e-01
18 +5.947939541e+05 +5.947939541e+05 +5.948298541e+05 +5.948298541e+05 +3.5279e-01 -1.8449e-01 +8.7671e-01 +1.4891e-01 -2.2477e-01 -2.0895e-01 +2.9479e-02 -1.7463e-01 -3.8262e-02 -3.0898e-01 -3.0232e-01 +4.2043e-01 -3.9984e-01 -3.2976e-01 +3.1620e-01 -5.1049e-01 -9.4801e-02 -6.4440e-02 -1.0750e-01 -7.7127e-01
29 +5.883906004e+05 +5.883906004e+05 +5.884265004e+05 +5.884265004e+05 +7.0828e-01 -3.2422e-02 +8.4836e-01 +2.0945e-01 +8.5506e-02 -4.7033e-01 -2.3729e-02 -2.1842e-01 -1.8886e-01 -5.1119e-02 -4.5193e-01 +3.0633e-01 -1.3699e-01 +1.6706e-01 +7.3261e-01 -2.1924e-01 -3.0657e-01 -2.4439e-01 -2.1549e-01 -7.6787e-01
50 +5.615966827e+05 +5.615966827e+05 +5.616325827e+05 +5.616325827e+05 +6.5224e-01 +1.5318e-01 +9.9857e-01 +2.6041e-02 -5.3885e-01 -8.9322e-01 +3.4668e-01 -4.0175e-01 +3.7770e-02 +1.1003e-01 -5.0066e-01 +6.6956e-02 -4.7602e-01 +2.6446e-01 +4.5091e-01 -8.4216e-01 +3.1117e-02 +4.9737e-01 -1.9203e-01 -7.2396e-01
66 +5.211511923e+05 +5.211511923e+05 +5.211870923e+05 +5.211870923e+05 +8.9910e-01 +1.1032e+00 +7.8549e-01 +2.7973e-01 -4.1301e-02 -1.2695e+00 -1.3583e-02 -5.5370e-01 -1.0301e-01 +2.5585e-01 -8.3455e-01 +7.1699e-01 -7.6243e-01 +2.3559e-01 +1.2049e+00 -3.1916e-01 +4.5176e-02 +2.3430e-01 -2.7743e-01 -6.9937e-01
76 +4.641263737e+05 +4.641263737e+05 +4.641622737e+05 +4.641622737e+05 +7.1186e-01 +1.0054e+00 +7.6679e-01 -2.6479e-01 -1.5072e-01 -7.0886e-01 -1.3827e-01 -7.5599e-01 -4.9639e-01 +1.1303e+00 -1.4501e+00 +8.3867e-01 -1.0423e+00 +1.9496e-01 +1.4924e+00 -7.0409e-01 -3.1915e-01 +4.3285e-01 -4.6257e-01 -1.0314e+00
84 +4.116622954e+05 +4.116622954e+05 +4.116981954e+05 +4.116981954e+05 +7.1461e-01 +1.3601e+00 +6.8525e-01 -1.0296e-01 -9.8908e-02 -1.0401e+00 +5.1391e-01 -4.9006e-01 -7.4806e-01 +3.3308e-01 -1.4527e+00 +5.4430e-01 -1.3158e+00 -9.5824e-02 +1.3464e+00 -6.9444e-01 -5.5069e-01 +9.9083e-01 -4.5398e-01 -1.1248e+00
88 +3.402387047e+05 +3.402387047e+05 +3.402746047e+05 +3.402746047e+05 +1.0912e+00 +1.1608e+00 +1.3751e+00 +1.0171e-01 +1.1057e-02 -1.2240e+00 -2.0918e-02 -7.7776e-01 -8.8788e-01 +1.6238e-01 -1.6623e+00 +7.4040e-01 -6.0532e-01 +2.0500e-01 +1.5900e+00 -8.8397e-01 -4.2988e-01 +6.9810e-01 -3.4837e-01 -1.3324e+00
108 +3.099319845e+05 +3.099319845e+05 +3.099678845e+05 +3.099678845e+05 +1.0896e+00 +4.8467e-01 +1.0822e+00 -2.1819e-01 -6.8884e-01 -1.1983e+00 +2.7900e-01 -1.4153e+00 -1.3875e+00 -8.7359e-01 -2.3260e+00 +2.8742e-01 -9.4700e-01 +9.6414e-02 +1.2409e+00 -1.1793e+00 -1.2737e-01 +1.3955e+00 +2.6038e-01 -1.1507e+00
