% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.357246449e+01 +7.357246449e+01 +1.449224645e+02 +1.449224645e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +6.731820100e+01 +6.731820100e+01 +1.386682010e+02 +1.386682010e+02 -1.7736e-01 -4.8033e-02 -3.0187e-02 -2.1951e-01 +6.3921e-02 +2.6585e-01 +2.2864e-01 +3.2912e-02 -1.2903e-01 -1.8101e-01 -1.6178e-01 -4.4160e-02 -4.2839e-02 -1.1422e-02 -1.8575e-01 +1.9395e-01 -1.5028e-01 -3.5289e-01 +8.3823e-02 -3.5927e-01
7 +4.871954193e+01 +4.871954193e+01 +1.200695419e+02 +1.200695419e+02 -7.3084e-02 -1.7184e-01 -2.2938e-01 +1.0097e-02 -3.2999e-01 +1.9846e-01 -1.6665e-01 -5.5919e-02 +2.0841e-01 -3.4651e-01 -2.7085e-01 +3.8536e-01 -4.1851e-01 +5.8138e-03 -1.0184e-01 -3.5796e-01 -3.2030e-01 +1.9333e-01 -1.0182e-02 +9.8738e-02
10 +4.724253811e+01 +4.724253811e+01 +1.185925381e+02 +1.185925381e+02 +1.6631e-01 +3.4866e-01 -5.1252e-01 -3.7778e-01 +8.7666e-02 -1.6643e-01 +4.9976e-02 -8.6660e-03 +3.7254e-01 -1.8406e-01 -1.9353e-01 +1.3954e-02 -2.9982e-01 +3.4086e-01 +2.7183e-01 +2.0054e-02 -3.4343e-01 +1.7379e-01 +1.6180e-01 +2.6266e-01
34 +4.358343565e+01 +4.358343565e+01 +1.149334357e+02 +1.149334357e+02 +1.3707e-01 +4.0614e-01 -5.2291e-01 -1.0910e-01 -2.4299e-02 -2.0591e-01 +1.8745e-01 -1.6640e-01 +3.2256e-01 +9.7019e-02 -6.3415e-01 +3.1093e-01 -3.9101e-01 +3.7193e-01 +1.6523e-01 +1.3736e-01 -1.7115e-01 +4.4319e-01 -1.4134e-01 +1.1990e-01
49 +4.265282335e+01 +4.265282335e+01 +1.140028233e+02 +1.140028233e+02 +2.6849e-01 +2.3686e-01 -6.2989e-01 -5.5352e-01 +4.4511e-02 +4.4521e-02 +1.0823e-01 -3.4387e-01 +4.3384e-01 +3.4809e-01 -3.1741e-01 +3.4016e-01 -2.0111e-01 +2.0548e-01 +2.0300e-01 -1.1435e-01 +1.8744e-02 +2.1852e-01 -1.2686e-01 -1.7928e-01
55 +4.069915135e+01 +4.069915135e+01 +1.120491513e+02 +1.120491513e+02 +2.0609e-01 +2.4832e-01 -2.9688e-01 -5.8047e-01 -1.6987e-01 -8.1143e-02 -6.4724e-02 -2.7816e-01 +3.8521e-01 +2.1478e-01 -4.9079e-01 +3.4088e-01 -1.2306e-01 -6.7092e-02 +3.7091e-02 +2.6055e-01 -1.5660e-01 +2.8884e-01 +1.0496e-02 -1.0970e-01
57 +3.914327756e+01 +3.914327756e+01 +1.104932776e+02 +1.104932776e+02 +4.5065e-01 -1.3219e-02 -3.4800e-01 -5.7744e-01 -2.7894e-01 +5.4724e-02 +4.2472e-01 -3.6391e-01 +7.6437e-01 +4.8861e-01 -6.2079e-01 +5.1928e-01 +1.2580e-01 -1.0542e-01 -1.9348e-01 +5.5539e-02 +3.5823e-01 +4.9421e-01 -5.9689e-02 -1.5045e-01
67 +3.520405910e+01 +3.520405910e+01 +1.065540591e+02 +1.065540591e+02 +4.7752e-01 +1.5886e-01 -2.0263e-01 -4.1553e-01 -6.7104e-01 -1.1649e-01 -3.5268e-01 -4.1952e-01 +2.7903e-01 +1.4681e-01 -3.9654e-01 +2.8705e-01 -9.2857e-02 -2.8247e-02 -8.7008e-02 +5.5193e-02 +1.8455e-01 +1.1242e-01 +1.3907e-01 -2.5311e-01
85 +3.330190797e+01 +3.330190797e+01 +1.046519080e+02 +1.046519080e+02 +4.1455e-01 +3.9808e-01 -5.4688e-02 -8.5452e-02 -5.4432e-01 -1.9532e-01 -2.6075e-01 -2.6296e-01 +6.2089e-01 -3.3667e-01 -4.9257e-01 +6.3899e-01 -2.9193e-01 -3.1569e-01 -1.6815e-01 -3.8931e-02 +3.5853e-01 +2.3741e-01 +1.5040e-01 -3.5938e-01
132 +3.134512759e+01 +3.134512759e+01 +1.026951276e+02 +1.026951276e+02 +6.8880e-01 +3.3771e-01 +1.0284e-01 -5.8218e-01 -2.9367e-01 -4.9955e-01 +9.1823e-02 +1.9937e-01 +5.6289e-01 +1.0452e-01 -9.9111e-02 +6.6942e-01 -5.5750e-01 -2.4928e-01 +2.3232e-02 +2.4458e-01 +4.0980e-01 +1.8812e-01 +2.2928e-01 +1.4473e-01
138 +2.777021984e+01 +2.777021984e+01 +9.912021984e+01 +9.912021984e+01 +7.6407e-01 +1.7712e-01 -2.4177e-01 -3.3478e-01 -2.1904e-01 -5.1866e-01 -8.0446e-02 +4.5170e-01 +9.0011e-01 +2.7905e-01 +7.1256e-02 +6.2769e-01 -4.9106e-01 -2.6653e-01 +6.5699e-02 +3.7876e-01 +8.3950e-01 +1.4431e-01 +7.9561e-02 +1.6121e-01
140 +2.418143525e+01 +2.418143525e+01 +9.553143525e+01 +9.553143525e+01 +1.1315e+00 +2.2459e-01 -1.4757e-01 -4.4016e-01 -5.2980e-01 -6.4984e-01 +9.4259e-02 +7.5950e-01 +5.5159e-01 +6.4825e-02 -7.6622e-02 +5.7936e-01 -1.8547e-01 -3.8881e-01 +2.5010e-02 +2.7063e-01 +5.8043e-01 +1.4170e-01 +2.1827e-01 -4.3660e-02
147 +2.151235016e+01 +2.151235016e+01 +9.286235016e+01 +9.286235016e+01 +1.0006e+00 +4.1463e-01 -1.6887e-01 -3.0768e-01 -3.8036e-01 -6.5572e-01 -1.5231e-01 +5.1386e-01 +9.0092e-01 +8.7915e-02 +1.0938e-01 +6.9548e-01 -2.0568e-01 -4.4062e-01 -1.6774e-03 +2.2009e-01 +5.6611e-01 +2.1184e-01 +2.9272e-01 +1.0037e-01
